,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.7143243826526786,2023-05-11 09:02:31.472096,2023-05-11 09:06:24.699057,0 days 00:03:53.226961,0.1832619845547938,2048,0.08003410758548654,1e-05,0.005,55.0,COMPLETE
1,1,0.5028053298342258,2023-05-11 09:06:24.702947,2023-05-11 09:06:50.688161,0 days 00:00:25.985214,0.16120957227224214,2048,0.06552405971872813,1e-05,0.001,90.0,COMPLETE
2,2,0.49893145500250646,2023-05-11 09:06:50.690108,2023-05-11 09:07:16.795454,0 days 00:00:26.105346,0.11613095178849964,1024,0.06877974929188586,0.01,0.01,95.0,COMPLETE
3,3,0.5006682885397222,2023-05-11 09:07:16.830650,2023-05-11 09:07:40.866556,0 days 00:00:24.035906,0.1739263579398302,16384,0.01352690130288886,0.1,0.05,30.0,COMPLETE
4,4,0.4976750337924965,2023-05-11 09:07:40.867432,2023-05-11 09:08:34.150616,0 days 00:00:53.283184,0.17163272041185657,1024,0.0360465483652481,0.1,0.005,30.0,COMPLETE
5,5,0.5007013510416357,2023-05-11 09:08:34.152396,2023-05-11 09:09:01.539933,0 days 00:00:27.387537,0.16994792753175042,2048,0.03676932557696203,0.001,0.01,20.0,COMPLETE
6,6,0.5051295347762771,2023-05-11 09:09:01.541687,2023-05-11 09:09:26.872533,0 days 00:00:25.330846,0.1428768700945766,2048,0.02219266578002052,0.01,0.01,85.0,COMPLETE
7,7,0.5043148794966514,2023-05-11 09:09:26.874231,2023-05-11 09:09:56.978831,0 days 00:00:30.104600,0.11494483046579938,1024,0.08813134516313928,0.01,0.1,30.0,COMPLETE
8,8,0.5008699790288541,2023-05-11 09:09:56.981388,2023-05-11 09:10:26.010812,0 days 00:00:29.029424,0.11716296772614405,16384,0.056893294558371645,0.001,0.001,20.0,COMPLETE
9,9,0.5013597905493707,2023-05-11 09:10:26.014013,2023-05-11 09:10:57.571903,0 days 00:00:31.557890,0.17301220295167696,1024,0.03807504959316417,1.0,0.005,10.0,COMPLETE
10,10,0.7160870376988699,2023-05-11 09:10:57.573253,2023-05-11 09:15:06.196935,0 days 00:04:08.623682,0.19665795757894142,8192,0.09875955992364374,1e-05,0.005,60.0,COMPLETE
11,11,0.73178512591064,2023-05-11 09:15:06.198263,2023-05-11 09:21:35.626174,0 days 00:06:29.427911,0.19523250891613195,8192,0.09810884229837141,1e-05,0.005,60.0,COMPLETE
12,12,0.5025538712957567,2023-05-11 09:21:35.637100,2023-05-11 09:22:04.552714,0 days 00:00:28.915614,0.19765280471061433,8192,0.09774135298030956,0.0001,0.005,65.0,COMPLETE
13,13,0.7330855633865705,2023-05-11 09:22:04.554407,2023-05-11 09:29:08.428338,0 days 00:07:03.873931,0.1988509554988389,8192,0.09764293055279985,1e-05,0.005,65.0,COMPLETE
14,14,0.6949208758631238,2023-05-11 09:29:08.432199,2023-05-11 09:30:52.900799,0 days 00:01:44.468600,0.19818174133416944,4096,0.08282462151667111,1e-05,0.1,75.0,COMPLETE
15,15,0.7159966034642387,2023-05-11 09:30:52.909654,2023-05-11 09:32:04.749058,0 days 00:01:11.839404,0.1863243678007362,8192,0.09166444307908489,1e-05,0.05,50.0,COMPLETE
16,16,0.6061101525887649,2023-05-11 09:32:04.814576,2023-05-11 09:34:01.407926,0 days 00:01:56.593350,0.18585773889518145,8192,0.07315315451980638,0.0001,0.005,45.0,COMPLETE
17,17,0.5052424596631325,2023-05-11 09:34:01.411068,2023-05-11 09:34:30.670265,0 days 00:00:29.259197,0.199695333481583,8192,0.09893411442820478,1.0,0.005,75.0,COMPLETE
18,18,0.505517594326121,2023-05-11 09:34:30.674743,2023-05-11 09:35:02.040725,0 days 00:00:31.365982,0.1551414916762988,4096,0.08147859416546585,1e-05,0.005,70.0,COMPLETE
