,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.49854002230338607,2023-05-11 09:09:44.185356,2023-05-11 09:10:18.007516,0 days 00:00:33.822160,0.1832619845547938,2048,0.08003410758548654,1e-05,0.005,55.0,COMPLETE
1,1,0.49751641888099907,2023-05-11 09:10:18.011428,2023-05-11 09:10:45.686442,0 days 00:00:27.675014,0.16120957227224214,2048,0.06552405971872813,1e-05,0.001,90.0,COMPLETE
2,2,0.736057529614559,2023-05-11 09:10:45.688224,2023-05-11 09:16:43.198446,0 days 00:05:57.510222,0.11613095178849964,1024,0.06877974929188586,0.01,0.01,95.0,COMPLETE
3,3,0.732723357385494,2023-05-11 09:16:43.199741,2023-05-11 09:17:36.950823,0 days 00:00:53.751082,0.1739263579398302,16384,0.01352690130288886,0.1,0.05,30.0,COMPLETE
4,4,0.5013182618528826,2023-05-11 09:17:36.952224,2023-05-11 09:18:03.761577,0 days 00:00:26.809353,0.17163272041185657,1024,0.0360465483652481,0.1,0.005,30.0,COMPLETE
5,5,0.49649291029639564,2023-05-11 09:18:03.765642,2023-05-11 09:18:26.624376,0 days 00:00:22.858734,0.16994792753175042,2048,0.03676932557696203,0.001,0.01,20.0,COMPLETE
6,6,0.5020949922717972,2023-05-11 09:18:26.625653,2023-05-11 09:19:00.128035,0 days 00:00:33.502382,0.1428768700945766,2048,0.02219266578002052,0.01,0.01,85.0,COMPLETE
7,7,0.6599510566805344,2023-05-11 09:19:00.135170,2023-05-11 09:21:27.904189,0 days 00:02:27.769019,0.11494483046579938,1024,0.08813134516313928,0.01,0.1,30.0,COMPLETE
8,8,0.4965221831317396,2023-05-11 09:21:27.909707,2023-05-11 09:21:55.314847,0 days 00:00:27.405140,0.11716296772614405,16384,0.056893294558371645,0.001,0.001,20.0,COMPLETE
9,9,0.5026955999554047,2023-05-11 09:21:55.321538,2023-05-11 09:22:17.366449,0 days 00:00:22.044911,0.17301220295167696,1024,0.03807504959316417,1.0,0.005,10.0,COMPLETE
10,10,0.7487902543586267,2023-05-11 09:22:17.367597,2023-05-11 09:26:00.493029,0 days 00:03:43.125432,0.10277226932479687,8192,0.09812168521331273,0.0001,0.01,70.0,COMPLETE
11,11,0.7487902633297683,2023-05-11 09:26:00.495932,2023-05-11 09:29:36.348466,0 days 00:03:35.852534,0.1005053501002823,8192,0.09810884229837141,0.0001,0.01,70.0,COMPLETE
